epoch,NMI,classification_accuracy,f1_macro,f1_micro,hyperbolic_distance_layer_0_loss,hyperbolic_distance_layer_1_loss,label_prediction_layer_0_loss,loss,mean_precision_reconstruction,mean_rank_reconstruction
0,0.04885609611202927,0.13,0.10301680928436342,0.13,2.3150641918182373,2.3966856002807617,0.0456070713698864,19.277315139770508,0.03941047641220753,535.3048587867077
1,0.34015604716,0.58,0.580488987414,0.58,2.16985881317,2.38957113051,0.00564344864445,0.257403487462,0.00143946815497,0.0
2,0.309122998082,0.544,0.51819475991,0.544,2.05957082057,2.39789533615,0.00332361588506,0.0139213887071,0.00143946815497,0.0
3,0.342351559817,0.498,0.527794653311,0.498,2.00672714221,2.39789533615,0.00285574781977,0.0129172191229,0.00143946815497,0.0
4,0.358350774442,0.59,0.579103023697,0.59,1.99773051763,2.39789533615,0.00252765074363,0.0119364995202,0.00143946815497,0.0
5,0.393142651595,0.656,0.630211287699,0.656,1.98845117569,2.39789533615,0.00227997498803,0.011050860499,0.00143946815497,0.0
6,0.366947868581,0.558,0.571072714259,0.558,1.97762248194,2.39789533615,0.00206906266895,0.0107443417213,0.00143946815497,0.0
7,0.348579691235,0.564,0.56885980771,0.564,1.97785393268,2.39789533615,0.00181463785123,0.00924095428642,0.00143946815497,0.0
8,0.336141966171,0.466,0.467557585459,0.466,1.95485574055,2.39789533615,0.00179294138049,0.0097692964985,0.00143946815497,0.0
9,0.378894546774,0.616,0.584143992699,0.616,1.96644040859,2.39789533615,0.00151826480672,0.0083204624746,0.00143946815497,0.0
10,0.311540115711,0.51,0.50435634779,0.51,1.9325693469,2.39789533615,0.00147327066333,0.00874034967367,0.00143946815497,0.0
11,0.318510252185,0.484,0.478005267479,0.484,1.94961416578,2.39789533615,0.00139723406822,0.00780701417429,0.00143946815497,0.0
12,0.381267408891,0.64,0.61964901871,0.64,1.94279875922,2.39789533615,0.00130771855239,0.00764220293844,0.00143946815497,0.0
13,0.340719458685,0.586,0.556681925057,0.586,1.95914801633,2.39789533615,0.00126301262455,0.00732832007064,0.00143946815497,0.0
14,0.269050806069,0.502,0.483476375015,0.502,1.94096992147,2.39789533615,0.00124659785496,0.00712555542029,0.00143946815497,0.0
15,0.410219952304,0.604,0.574167585348,0.604,1.92898298538,2.39789533615,0.00124987613874,0.00761574129062,0.00143946815497,0.0
16,0.359711786999,0.62,0.590651549464,0.62,1.92149843645,2.39789533615,0.00126545775534,0.00729653448984,0.00143946815497,0.0
