epoch,NMI,classification_accuracy,f1_macro,f1_micro,hyperbolic_distance_layer_0_loss,hyperbolic_distance_layer_1_loss,label_prediction_layer_0_loss,loss,mean_precision_reconstruction,mean_rank_reconstruction
9,-5.82867087928e-06,0.316,0.0686061658706,0.316,1.67008354158,0.97157464651,0.00291239271584,0.023553865727,0.0319605136998,1056.87606825
10,-5.82867087928e-06,0.156,0.0385565991102,0.156,1.64122057486,0.83344868459,0.00126217390701,0.014769694671,0.034712808147,971.912522898
11,-5.82867087928e-06,0.114,0.0292382662221,0.114,1.58128906671,0.871057936322,0.000985893711734,0.0147415700192,0.0362982124371,1052.84467532
12,-5.82867087928e-06,0.162,0.0398328005901,0.162,1.71350946835,0.889211249588,0.00104025834881,0.0146539065144,0.0351349224109,1028.37669025
13,-5.82867087928e-06,0.114,0.0292382662221,0.114,1.58694845612,0.829414857763,0.000984979383466,0.013906079581,0.0362516450656,1053.85852172
14,-5.82867087928e-06,0.072,0.0191897654584,0.072,1.58307712527,0.844516783421,0.00104408832712,0.0142013034956,0.0337984495049,1040.29347299
15,-5.82867087928e-06,0.162,0.0398328005901,0.162,1.53911734215,0.796439478107,0.000898304103291,0.0131817472177,0.0336274802426,1049.69410734
16,-5.82867087928e-06,0.122,0.0310669722434,0.122,1.58045277502,0.83218039587,0.000985426395193,0.0137045517666,0.0351503910548,1052.98412487
17,-5.82867087928e-06,0.156,0.0385565991102,0.156,1.62235644999,0.834541502861,0.00108290249302,0.0137934008008,0.0365496395021,1025.86387971
18,-5.82867087928e-06,0.316,0.0686061658706,0.316,1.54548432704,0.814925747568,0.000905781322849,0.0131079951688,0.0351105723885,1028.24959777
19,-5.82867087928e-06,0.156,0.0385565991102,0.156,1.59138401155,0.806179353843,0.000957182618385,0.0137626188942,0.0369236338185,1064.35280738
20,-5.82867087928e-06,0.122,0.0310669722434,0.122,1.54714768414,0.849025082736,0.000967576093074,0.014116928915,0.0365514633142,1097.1720693
